CODIGO                         DESCRICAO                                            SALDO DISPONIVEL           EMPENHO             ARMAZEM           GRUP      ENDERECAR           SALDO TOTAL                                                                                                             
Y-YP147                        MIRRA - MIRRA OIL REPAIR 90ML                        5                          0                   62                0450      0                   5                                                                                                                  
Y-YP147                        MIRRA - MIRRA OIL REPAIR 90ML                        7                          0                   64                0450      0                   7                                                                                                                  
Y-YP148                        MIRRA OIL REPAIR 15ML - YBERA                        1380                       2860                60                0450      19                  4240                                                                                                               
Y-YP174                        PINCEL TAM.G PROFISSIONAL                            63                         0                   60                0450      0                   63                                                                                                                 
Y-YP175                        PENTE PROFISSIONAL 335                               26                         6                   60                0450      0                   32                                                                                                                 
Y-YP177                        TIGELA P/ TINTURA C/ ABA GRADU                       70                         0                   60                0450      0                   70                                                                                                                 
Y-YP248                        TOUCA METAL QUENTE PRETA                             18                         1                   60                0450      0                   19                                                                                                                 
Y-YP249                        CAPA DE CORTE NYLON FECHAMENTO                       29                         0                   60                0450      0                   29                                                                                                                 
Y-YP250                        AVENTAL EM NYLON IMPERMEAVEL                         28                         0                   60                0450      0                   28                                                                                                                 
Y-YP26                         MASCARA NUTRITIVA RENEW OIL 25                       1                          0                   60                0450      0                   1                                                                                                                  
Y-YP352                        SHAMPOO LIMPA E CUIDA DISCOVER                       1                          0                   60                0450      0                   1                                                                                                                  
Y-YP357                        MASCARA HIDRATANTE REDUTORA FA                       1                          0                   60                0450      1                   1                                                                                                                  
Y-YP361                        MASCARA SELADORA DETOX HEALTHY                       1                          0                   60                0450      1                   1                                                                                                                  
Y-YP5                          SHAMPOO HIDRATANTE REDUTOR FAS                       1                          0                   64                0450      0                   1                                                                                                                  
Y-YP5                          SHAMPOO HIDRATANTE REDUTOR FAS                       8                          0                   60                0450      0                   8                                                                                                                  
Y-YP588                        ETAPA 1 - MEDULA 250G: CRONOGR                       3                          0                   60                0450      1                   3                                                                                                                  
Y-YP588                        ETAPA 1 - MEDULA 250G: CRONOGR                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP589                        ETAPA 2 - CORTEX 250G: CRONOGR                       2                          0                   60                0450      0                   2                                                                                                                  
